Close/Last,Volume,Open,High,Low
$174.49 ,61172150,$172.30 ,$175.10 ,$171.96 
$174.00 ,66062880,$177.14 ,$177.51 ,$173.48 
$176.57 ,46964860,$177.13 ,$178.54 ,$176.50 
$177.45 ,43622590,$178.88 ,$179.48 ,$177.05 
$179.46 ,43675630,$177.97 ,$179.69 ,$177.31 
$177.79 ,52036670,$177.32 ,$178.62 ,$176.55 
$177.97 ,54686850,$179.48 ,$180.75 ,$177.60 
$178.19 ,60378490,$180.87 ,$180.93 ,$177.01 
$179.80 ,67823000,$179.69 ,$180.27 ,$177.58 
$178.85 ,97576070,$182.13 ,$183.13 ,$177.35 
$181.99 ,115956800,$185.52 ,$187.38 ,$181.92 
$191.17 ,62243280,$191.57 ,$192.37 ,$190.69 
$192.58 ,50389330,$195.04 ,$195.18 ,$191.85 
$195.61 ,35281430,$196.24 ,$196.73 ,$195.28 
$196.45 ,38824110,$196.06 ,$196.49 ,$195.26 
$195.83 ,48291440,$194.67 ,$196.63 ,$194.14 
$193.22 ,47460180,$196.02 ,$197.20 ,$192.55 
$194.50 ,47471870,$193.67 ,$195.64 ,$193.32 
$193.62 ,37283200,$193.33 ,$194.44 ,$192.92 
$192.75 ,45505100,$193.41 ,$194.91 ,$192.25 
$191.94 ,71951680,$194.10 ,$194.97 ,$191.23 
$193.13 ,59581200,$195.09 ,$196.47 ,$192.50 
$195.10 ,80507320,$193.10 ,$198.23 ,$192.65 
$193.73 ,48353770,$193.35 ,$194.33 ,$192.42 
$193.99 ,50520160,$191.90 ,$194.32 ,$191.81 
$190.69 ,41616240,$190.23 ,$191.18 ,$189.63 
$190.54 ,41342340,$190.50 ,$191.19 ,$189.78 
$189.77 ,60750250,$189.68 ,$191.70 ,$188.47 
$188.08 ,46638120,$189.16 ,$189.30 ,$186.60 
$188.61 ,59922160,$189.26 ,$189.99 ,$187.04 
$190.68 ,46815000,$191.41 ,$192.67 ,$190.24 
$191.81 ,45156010,$189.84 ,$192.02 ,$189.20 
$191.33 ,46920260,$191.57 ,$192.98 ,$190.62 
$192.46 ,31346600,$193.78 ,$193.88 ,$191.76 
$193.97 ,85213220,$191.63 ,$194.48 ,$191.26 
$189.59 ,46347310,$189.08 ,$190.07 ,$188.94 
$189.25 ,51216800,$187.93 ,$189.90 ,$187.60 
$188.06 ,50730850,$185.89 ,$188.39 ,$185.67 
$185.27 ,48088660,$186.83 ,$188.05 ,$185.23 
$186.68 ,53117000,$185.55 ,$187.56 ,$185.01 
$187.00 ,51245330,$183.74 ,$187.05 ,$183.67 
$183.96 ,49515700,$184.90 ,$185.41 ,$182.59 
$185.01 ,49799090,$184.41 ,$186.10 ,$184.41 
$184.92 ,101256200,$186.73 ,$186.99 ,$184.27 
$186.01 ,65433170,$183.96 ,$186.52 ,$183.78 
$183.95 ,57462880,$183.37 ,$184.39 ,$182.02 
$183.31 ,54929130,$182.80 ,$184.15 ,$182.44 
$183.79 ,54755000,$181.27 ,$183.89 ,$180.97 
$180.96 ,48899970,$181.50 ,$182.23 ,$180.63 
$180.57 ,50214880,$177.90 ,$180.84 ,$177.46 
$177.82 ,61944620,$178.44 ,$181.21 ,$177.32 
$179.21 ,64848370,$179.97 ,$180.12 ,$177.43 
$179.58 ,121946500,$182.63 ,$184.95 ,$178.04 
$180.95 ,61996910,$181.03 ,$181.78 ,$179.26 
$180.09 ,68901810,$177.70 ,$180.12 ,$176.93 
$177.25 ,99625290,$177.33 ,$179.35 ,$176.76 
$177.30 ,55964400,$176.96 ,$178.99 ,$176.57 
$175.43 ,54834980,$173.32 ,$175.77 ,$173.11 
$172.99 ,56058260,$172.41 ,$173.90 ,$171.69 
$171.84 ,45143490,$171.09 ,$172.42 ,$170.52 
$171.56 ,50747260,$173.13 ,$173.38 ,$171.28 
$174.20 ,43570930,$173.98 ,$174.71 ,$173.45 
$175.16 ,55809480,$176.39 ,$176.39 ,$174.94 
$175.05 ,65496660,$173.00 ,$175.24 ,$172.58 
$172.69 ,57951600,$171.71 ,$172.93 ,$170.42 
$172.07 ,42110290,$171.99 ,$173.14 ,$171.80 
$172.07 ,37266660,$173.16 ,$173.21 ,$171.47 
$172.57 ,45533140,$173.62 ,$174.06 ,$171.00 
$173.75 ,49514680,$173.85 ,$174.59 ,$172.17 
$173.56 ,53724500,$173.02 ,$174.03 ,$171.90 
$171.77 ,45326870,$173.05 ,$173.54 ,$171.60 
$173.50 ,55962790,$172.48 ,$173.85 ,$172.11 
$173.57 ,113453200,$170.98 ,$174.30 ,$170.76 
$165.79 ,81235430,$164.89 ,$167.04 ,$164.31 
$167.45 ,65136020,$169.50 ,$170.92 ,$167.16 
$168.54 ,48425700,$170.09 ,$170.35 ,$167.54 
$169.59 ,52472940,$169.28 ,$170.45 ,$168.64 
$169.68 ,55275850,$168.49 ,$169.85 ,$167.88 
$168.41 ,64902330,$165.19 ,$168.56 ,$165.19 
$163.76 ,45498800,$163.06 ,$165.28 ,$162.80 
$163.77 ,48714060,$165.19 ,$166.31 ,$163.73 
$165.33 ,41949580,$165.00 ,$165.60 ,$163.89 
$165.02 ,58337340,$165.05 ,$166.45 ,$164.49 
$166.65 ,52456380,$166.09 ,$167.87 ,$165.56 
$167.63 ,47720170,$165.80 ,$168.16 ,$165.54 
$166.47 ,49923010,$166.10 ,$167.41 ,$165.65 
$165.23 ,41516220,$165.09 ,$165.39 ,$164.03 
$165.21 ,49386480,$164.59 ,$166.32 ,$163.82 
$165.56 ,68445650,$161.63 ,$165.80 ,$161.42 
$160.10 ,50133060,$161.22 ,$162.06 ,$159.78 
$160.80 ,47644220,$162.35 ,$162.36 ,$160.51 
$162.03 ,47716880,$161.42 ,$162.03 ,$160.08 
$164.66 ,45390120,$162.43 ,$164.96 ,$162.00 
$163.76 ,51511740,$164.74 ,$165.05 ,$161.80 
$165.63 ,46278300,$166.60 ,$166.84 ,$165.11 
$166.17 ,56976190,$164.27 ,$166.29 ,$164.22 
$164.90 ,68749790,$162.44 ,$165.00 ,$161.91 
